epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1776.85,0.46532,0.32331,0.95214,0.97068,0.96932,0.99122,0.89599,0.48016,0.27514,0.97854,0.000268938,0.000268938,0.000268938
84,1799.13,0.48241,0.33421,0.9669,0.96951,0.98244,0.99007,0.88948,0.49025,0.26625,0.99123,0.000254791,0.000254791,0.000254791
85,1820.84,0.49523,0.34406,0.96269,0.96889,0.98502,0.99239,0.87936,0.48448,0.25738,0.98026,0.000240644,0.000240644,0.000240644
86,1841.07,0.48419,0.33199,0.96606,0.967,0.98361,0.9916,0.88987,0.48374,0.24966,0.98714,0.000226497,0.000226497,0.000226497
87,1860.69,0.48784,0.33378,0.9671,0.97045,0.97444,0.99091,0.88852,0.49038,0.26577,0.98355,0.000212349,0.000212349,0.000212349
88,1883.38,0.48348,0.32435,0.96136,0.97097,0.97333,0.98613,0.8724,0.50953,0.27793,1.00855,0.000198202,0.000198202,0.000198202
89,1902.7,0.4649,0.31687,0.95778,0.95934,0.97301,0.99186,0.89123,0.50965,0.27404,1.00613,0.000184055,0.000184055,0.000184055
90,1922.44,0.47967,0.32536,0.96567,0.95303,0.98667,0.99186,0.89697,0.49077,0.25972,0.98524,0.000169908,0.000169908,0.000169908
91,1949.34,0.46406,0.24855,0.96587,0.96834,0.98473,0.99239,0.89733,0.47669,0.24738,0.98215,0.000155761,0.000155761,0.000155761
92,1969.05,0.4627,0.23627,0.97167,0.96676,0.98604,0.99331,0.89228,0.49643,0.24495,0.98458,0.000141614,0.000141614,0.000141614
93,1989.19,0.45547,0.2382,0.9703,0.96889,0.97189,0.99137,0.88684,0.4876,0.24895,0.99652,0.000127467,0.000127467,0.000127467
94,2012.31,0.45507,0.23245,0.96295,0.96962,0.98667,0.99331,0.88855,0.47358,0.24984,0.98217,0.00011332,0.00011332,0.00011332
95,2032.05,0.45028,0.23192,0.9526,0.96965,0.98667,0.99331,0.89842,0.47885,0.24853,0.9813,9.91726e-05,9.91726e-05,9.91726e-05
96,2051.87,0.44414,0.22439,0.95421,0.96916,0.98667,0.99239,0.8925,0.46074,0.24251,0.97451,8.50255e-05,8.50255e-05,8.50255e-05
97,2071.33,0.44361,0.22302,0.96481,0.96938,0.98488,0.99284,0.8901,0.46437,0.2441,0.97114,7.08784e-05,7.08784e-05,7.08784e-05
98,2090.49,0.43831,0.22324,0.95338,0.96939,0.98136,0.99331,0.88646,0.47011,0.24735,0.97372,5.67313e-05,5.67313e-05,5.67313e-05
99,2110.32,0.44067,0.22125,0.962,0.96866,0.98456,0.99331,0.88938,0.46709,0.24588,0.97014,4.25842e-05,4.25842e-05,4.25842e-05
100,2130.22,0.44177,0.21842,0.95001,0.96889,0.98622,0.99331,0.89054,0.46486,0.2398,0.97193,2.84371e-05,2.84371e-05,2.84371e-05
