epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2298.28,0.49939,0.3195,0.87707,0.99565,1,0.995,0.88743,0.54498,0.24546,0.84608,0.00055188,0.00055188,0.00055188
64,2334.41,0.49393,0.33,0.87556,0.9964,1,0.995,0.88481,0.56788,0.24902,0.85148,0.000537733,0.000537733,0.000537733
65,2369.99,0.50158,0.32418,0.87948,0.99577,1,0.995,0.90504,0.51904,0.23613,0.84211,0.000523586,0.000523586,0.000523586
66,2406.18,0.49208,0.31523,0.87741,0.99527,1,0.995,0.89055,0.52108,0.22905,0.84178,0.000509438,0.000509438,0.000509438
67,2442.37,0.48867,0.31018,0.87394,0.99619,1,0.995,0.90213,0.53126,0.22766,0.84506,0.000495291,0.000495291,0.000495291
68,2477.39,0.48302,0.31119,0.87303,0.99445,1,0.995,0.89732,0.51256,0.2325,0.84322,0.000481144,0.000481144,0.000481144
69,2513.98,0.47442,0.31455,0.87786,0.99597,1,0.995,0.8966,0.52101,0.22344,0.84489,0.000466997,0.000466997,0.000466997
70,2550.03,0.4972,0.31127,0.88296,0.99631,1,0.995,0.8887,0.53236,0.23372,0.84229,0.00045285,0.00045285,0.00045285
71,2585.28,0.48586,0.30707,0.87384,0.99659,1,0.995,0.89698,0.53035,0.23925,0.8456,0.000438703,0.000438703,0.000438703
72,2621.12,0.48343,0.30486,0.87678,0.99517,1,0.995,0.90665,0.51619,0.22418,0.84233,0.000424556,0.000424556,0.000424556
73,2657.69,0.47697,0.29765,0.87533,0.99256,1,0.995,0.87262,0.56304,0.23783,0.84756,0.000410409,0.000410409,0.000410409
74,2693.64,0.46773,0.30376,0.87054,0.99619,1,0.995,0.89014,0.52669,0.22389,0.84476,0.000396262,0.000396262,0.000396262
75,2729.64,0.47341,0.2942,0.8704,0.99366,1,0.995,0.88378,0.5484,0.23927,0.84751,0.000382115,0.000382115,0.000382115
76,2765.28,0.47434,0.29533,0.87554,0.99539,1,0.995,0.89919,0.53079,0.23321,0.84431,0.000367967,0.000367967,0.000367967
77,2801.92,0.45779,0.29222,0.87175,0.99646,1,0.995,0.89616,0.52468,0.2236,0.84047,0.00035382,0.00035382,0.00035382
78,2837.51,0.44742,0.28531,0.86731,0.99289,1,0.995,0.87735,0.55769,0.23371,0.84418,0.000339673,0.000339673,0.000339673
79,2874.19,0.45893,0.29151,0.87066,0.99603,1,0.995,0.8831,0.54981,0.2238,0.84714,0.000325526,0.000325526,0.000325526
80,2910.55,0.44703,0.28417,0.86613,0.99651,1,0.995,0.89123,0.52448,0.2225,0.8414,0.000311379,0.000311379,0.000311379
81,2945.67,0.44789,0.28328,0.86793,0.99641,1,0.995,0.88123,0.53754,0.22078,0.8453,0.000297232,0.000297232,0.000297232
82,2982.37,0.4487,0.28414,0.86917,0.99655,1,0.995,0.88419,0.54062,0.21289,0.84564,0.000283085,0.000283085,0.000283085
83,3019.06,0.43833,0.27563,0.86211,0.9962,1,0.995,0.89017,0.5263,0.21604,0.84417,0.000268938,0.000268938,0.000268938
84,3054.81,0.43623,0.27865,0.86261,0.99614,1,0.995,0.88786,0.544,0.22605,0.84631,0.000254791,0.000254791,0.000254791
85,3090.56,0.4416,0.27021,0.86583,0.9965,1,0.995,0.89112,0.53372,0.22376,0.84491,0.000240644,0.000240644,0.000240644
86,3127.04,0.43952,0.27246,0.86772,0.99648,1,0.995,0.89398,0.52857,0.21552,0.84263,0.000226497,0.000226497,0.000226497
87,3163.26,0.42821,0.26966,0.86345,0.99634,1,0.995,0.88854,0.52613,0.20588,0.84071,0.000212349,0.000212349,0.000212349
88,3198.71,0.43039,0.27289,0.86434,0.99623,1,0.995,0.89778,0.51849,0.21386,0.84027,0.000198202,0.000198202,0.000198202
89,3234.36,0.42455,0.26014,0.86178,0.9966,1,0.995,0.89822,0.52611,0.21501,0.84595,0.000184055,0.000184055,0.000184055
90,3270.17,0.4241,0.25462,0.85482,0.99646,1,0.995,0.88538,0.5204,0.21074,0.84171,0.000169908,0.000169908,0.000169908
91,3308.43,0.35255,0.18445,0.80213,0.99582,1,0.995,0.88281,0.55233,0.21866,0.84535,0.000155761,0.000155761,0.000155761
92,3343.91,0.35026,0.18092,0.79328,0.99602,1,0.995,0.89179,0.5385,0.22611,0.84525,0.000141614,0.000141614,0.000141614
93,3379.46,0.33952,0.17743,0.79812,0.99625,1,0.995,0.8826,0.5426,0.22314,0.8479,0.000127467,0.000127467,0.000127467
94,3414.34,0.33591,0.17585,0.79157,0.99633,1,0.995,0.88466,0.54315,0.21477,0.84546,0.00011332,0.00011332,0.00011332
95,3449.8,0.32962,0.17303,0.79327,0.99634,1,0.995,0.90405,0.53152,0.21303,0.84608,9.91726e-05,9.91726e-05,9.91726e-05
96,3484.02,0.32786,0.17015,0.79141,0.99633,1,0.995,0.89228,0.52267,0.212,0.84275,8.50255e-05,8.50255e-05,8.50255e-05
97,3518.53,0.32173,0.16754,0.79724,0.99627,1,0.995,0.89341,0.52409,0.20508,0.84447,7.08784e-05,7.08784e-05,7.08784e-05
98,3552.63,0.32517,0.16748,0.79002,0.99623,1,0.995,0.89305,0.52515,0.20688,0.84243,5.67313e-05,5.67313e-05,5.67313e-05
99,3587.76,0.31205,0.16442,0.79622,0.99542,1,0.995,0.89984,0.52004,0.20762,0.84214,4.25842e-05,4.25842e-05,4.25842e-05
100,3623.08,0.30813,0.16344,0.79046,0.9936,1,0.995,0.88816,0.52413,0.20837,0.84293,2.84371e-05,2.84371e-05,2.84371e-05
